METERID,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geo Local Area,Latitude,Longitude,Avg_Weekday_Rate,Avg_Weekend_Rate,Is_Weekend_Cheaper
522117,Twin Bay Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,50902,Mount_Pleasant,49.265916,-123.1095659,1.5,3,False
620901,Twin Bay Single,5,1,5,1.00,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66229,Downtown,49.28085876,-123.1226881,3,6,False
752316,Twin Bay Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57102,Mount_Pleasant,49.26402126,-123.1047597,1.5,3,False
751804,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59944,Mount_Pleasant,49.26884901,-123.104568,1.5,3,False
B30214,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50039,Mount_Pleasant,49.26832402,-123.1099399,1.5,3,False
751805,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,56412,Mount_Pleasant,49.26890103,-123.104736,1.5,3,False
B30141,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,54335,Mount_Pleasant,49.268415,-123.108558,1.5,3,False
B30142,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50066,Mount_Pleasant,49.26829904,-123.1083821,1.5,3,False
A30019,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50048,Mount_Pleasant,49.26833119,-123.1037811,1.5,3,False
A30117,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50081,Mount_Pleasant,49.26828799,-123.101336,1.5,3,False
A30134,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50757,Mount_Pleasant,49.268188,-123.102208,1.5,3,False
A40115,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,54285,Mount_Pleasant,49.26737503,-123.101069,1.5,3,False
MY0506,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59839,Fairview,49.26799407,-123.1174199,1,2,False
072115,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59809,Grandview-Woodland,49.28125386,-123.0611056,1,2,False
072124,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59828,Grandview-Woodland,49.28108309,-123.0608456,1,2,False
072224,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59825,Grandview-Woodland,49.28107512,-123.0588766,1,2,False
MY0418,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59838,Fairview,49.26831876,-123.1175444,1,2,False
522406,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57908,Mount_Pleasant,49.26354122,-123.1093646,1,2,False
TH1818,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59968,Strathcona,49.26798058,-123.0947178,1,2,False
774221,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,51015,Arbutus_Ridge,49.24815682,-123.1533779,1,2,False
761803,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59946,Mount_Pleasant,49.26888248,-123.1066767,1.5,3,False
A40114,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50225,Mount_Pleasant,49.267266,-123.101177,1.5,3,False
A40136,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50225,Mount_Pleasant,49.26727896,-123.102188,1.5,3,False
B30020,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,52823,Mount_Pleasant,49.26825799,-123.106194,1.5,3,False
A30018,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50067,Mount_Pleasant,49.26821696,-123.1038231,1.5,3,False
A30135,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50081,Mount_Pleasant,49.26830497,-123.102075,1.5,3,False
B40311,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50144,Mount_Pleasant,49.26756198,-123.1113141,1.5,3,False
B40336,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50158,Mount_Pleasant,49.26746301,-123.112077,1.5,3,False
A40137,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,54285,Mount_Pleasant,49.26739304,-123.10196,1.5,3,False
072131,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59809,Grandview-Woodland,49.28125412,-123.0606161,1,2,False
072142,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59828,Grandview-Woodland,49.2810834,-123.0602502,1,2,False
072215,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59810,Grandview-Woodland,49.28124587,-123.0591876,1,2,False
072240,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59825,Grandview-Woodland,49.2810754,-123.0583101,1,2,False
072316,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59822,Grandview-Woodland,49.28106698,-123.0571607,1,2,False
KQ1715,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59956,Mount_Pleasant,49.26926838,-123.1103481,1,2,False
KL0319,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59818,Hastings-Sunrise,49.28145273,-123.0546723,1,2,False
KL0407,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59819,Hastings-Sunrise,49.28083943,-123.0546603,1,2,False
C80209,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59929,Riley_Park,49.25484816,-123.1002598,1,2,False
010323,Pay Station,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67827,Strathcona,49.28407807,-123.0964565,1,2,False
TH1844,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59968,Strathcona,49.26726442,-123.0949994,1,2,False
752214,Single,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,53291,Mount_Pleasant,49.26508205,-123.104721,1.5,3,False
B50106,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57932,Mount_Pleasant,49.26646454,-123.1072021,1.5,3,False
072436,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59820,Hastings-Sunrise,49.28105892,-123.0552495,1,2,False
072413,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59817,Hastings-Sunrise,49.28122952,-123.0558808,1,2,False
SW0030,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59830,Mount_Pleasant,49.27126472,-123.1028217,1,2,False
620903,Twin Bay Single,5,1,5,1,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66215,Downtown,49.28085876,-123.1226881,3,6,False
C90129,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56343,Riley_Park,49.25375035,-123.1012349,1,2,False
C80134,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56259,Riley_Park,49.25456155,-123.1013061,1,2,False
C90206,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56462,Riley_Park,49.25382868,-123.1004715,1,2,False
C90208,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56704,Riley_Park,49.25382868,-123.1004715,1,2,False
C90210,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56873,Riley_Park,49.25382625,-123.1003059,1,2,False
C90212,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56269,Riley_Park,49.25382625,-123.1003059,1,2,False
B60020,Twin Bay Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,50205,Mount_Pleasant,49.26555605,-123.106249,1.5,3,False
B60022,Twin Bay Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56258,Mount_Pleasant,49.26555605,-123.106249,1.5,3,False
752218,Twin Bay Single,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,52948,Mount_Pleasant,49.264992,-123.1047259,1.5,3,False
B42040,Single,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51920,Kitsilano,49.26803632,-123.1523953,3.5,7,False
KL0401,Single / Disability,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,56319,Hastings-Sunrise,49.28097281,-123.0546866,1,2,False
B42002,Single / Disability,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,52003,Kitsilano,49.26801515,-123.1506475,3.5,7,False
161640,Single / Disability,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,No,67408,West_End,49.28603883,-123.1400673,1,2,False
B42107,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57138,Kitsilano,49.26822875,-123.1533141,3.5,7,False
B42109,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57121,Kitsilano,49.26822855,-123.1534626,3.5,7,False
B42036,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51864,Kitsilano,49.26803657,-123.1522042,3.5,7,False
070102,Single / Disability,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,67102,Downtown,49.28128216,-123.1019702,1,2,False
B42038,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51892,Kitsilano,49.26803657,-123.1522042,3.5,7,False
B42105,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57120,Kitsilano,49.26822875,-123.1533141,3.5,7,False
B42111,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57139,Kitsilano,49.26822855,-123.1534626,3.5,7,False
580612,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,4,4,4,4,13,Yes,67619,Downtown,49.28136217,-123.1139114,1,2,False
D00709,Twin / Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50321,Fairview,49.26239292,-123.1205197,2.5,5,False
D00705,Twin / Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50295,Fairview,49.26238835,-123.1202825,2.5,5,False
D00713,Twin / Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50323,Fairview,49.26239524,-123.1207602,2.5,5,False
D00711,Twin / Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50377,Fairview,49.26239524,-123.1207602,2.5,5,False
B42305,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57118,Kitsilano,49.2682998,-123.1579298,1,2,False
B42307,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57136,Kitsilano,49.2682998,-123.1579298,1,2,False
B42309,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57119,Kitsilano,49.26829953,-123.1581232,1,2,False
642114,Twin,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,13,No,57173,Fairview,49.26661402,-123.1455396,1,2,False
D00707,Twin / Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50463,Fairview,49.26239292,-123.1205197,2.5,5,False
D00703,Twin / Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50462,Fairview,49.26238835,-123.1202825,2.5,5,False
D00715,Single / Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50296,Fairview,49.26239967,-123.1210591,2.5,5,False
B42311,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57137,Kitsilano,49.26829953,-123.1581232,1,2,False
GN0525,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,10,10,10,10,10,10,13,Yes,59837,Strathcona,49.26689099,-123.0927467,1,2,False
GN0535,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,10,10,10,10,10,10,13,Yes,59837,Strathcona,49.26689124,-123.0918297,1,2,False
LB2115,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,0.5,13,Yes,54361,Arbutus_Ridge,49.24857001,-123.154418,1,2,False
A60017,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,13,Yes,50786,Mount_Pleasant,49.26561596,-123.103665,1.5,3,False
B60112,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50788,Mount_Pleasant,49.26557399,-123.107664,1.5,3,False
762108,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,57950,Mount_Pleasant,49.26618304,-123.106612,1.5,3,False
762109,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,57944,Mount_Pleasant,49.26618,-123.10679,1.5,3,False
762208,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50063,Mount_Pleasant,49.26524798,-123.106621,1.5,3,False
762213,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50064,Mount_Pleasant,49.26509097,-123.106866,1.5,3,False
752213,Pay Station,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50034,Mount_Pleasant,49.265028,-123.1048991,1.5,3,False
B60309,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50803,Mount_Pleasant,49.26575997,-123.111404,1.5,3,False
B60327,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50803,Mount_Pleasant,49.26577204,-123.112224,1.5,3,False
742208,Pay Station,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50804,Mount_Pleasant,49.26518399,-123.102784,1.5,3,False
A60018,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,59842,Mount_Pleasant,49.26549926,-123.1035705,1.5,3,False
B60131,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,59840,Mount_Pleasant,49.26571071,-123.1085293,1.5,3,False
A60003,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,13,Yes,50786,Mount_Pleasant,49.26562899,-123.104378,1.5,3,False
B60015,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,59841,Mount_Pleasant,49.26565905,-123.106048,1.5,3,False
782117,Pay Station,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,57942,Mount_Pleasant,49.26602399,-123.110923,1.5,3,False
