METERID,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geo Local Area,Latitude,Longitude,Avg_Weekday_Rate,Avg_Weekend_Rate,Is_Weekend_Cheaper
C90127,Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56522,Riley_Park,49.253753482873314,-123.10138434525362,1,2,False
C80206,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56410,Riley_Park,49.25473372757917,-123.10058212054909,1,2,False
C90132,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56812,Riley_Park,49.25366041656861,-123.1012632537739,1,2,False
E00131,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56584,Riley_Park,49.25275753742317,-123.10128574333798,1,2,False
010339,Twin_Bay_Single,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66956,Strathcona,49.28406180563002,-123.09564063587483,1,2,False
010341,Twin_Bay_Single,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67047,Strathcona,49.28406180563002,-123.09564063587483,1,2,False
522115,Twin_Bay_Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,50901,Mount_Pleasant,49.26591599580268,-123.1095659489185,1.5,3,False
620316,Pay_Station,6,1,6,1,6,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,60910,Downtown,49.28613627379815,-123.11444948949186,3.5,7,False
B60016,Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,52919,Mount_Pleasant,49.265544970977984,-123.10577201299165,1.5,3,False
C90203,Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56972,Riley_Park,49.25393690221098,-123.1005531550985,1,2,False
072435,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59817,Hastings-Sunrise,49.28122986937337,-123.0551575569902,1,2,False
620905,Twin_Bay_Single,5,1,5,1,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66348,Downtown,49.2807454693629,-123.12284668787048,3,6,False
620907,Twin_Bay_Single,5,1,5,1,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66335,Downtown,49.2807454693629,-123.12284668787048,3,6,False
C80208,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56817,Riley_Park,49.25473372757917,-123.10058212054909,1,2,False
C80136,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56592,Riley_Park,49.25456154715636,-123.10130614479729,1,2,False
C90131,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56472,Riley_Park,49.253750348644665,-123.10123490958115,1,2,False
C90130,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56405,Riley_Park,49.25366041656861,-123.1012632537739,1,2,False
E00129,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56333,Riley_Park,49.25275753742317,-123.10128574333798,1,2,False
522117,Twin_Bay_Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,50902,Mount_Pleasant,49.26591599580268,-123.1095659489185,1.5,3,False
620901,Twin_Bay_Single,5,1,5,1,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66229,Downtown,49.280858761227115,-123.12268810851592,3,6,False
752316,Twin_Bay_Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57102,Mount_Pleasant,49.264021260113005,-123.10475972755845,1.5,3,False
751804,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59944,Mount_Pleasant,49.26884901446297,-123.10456804661636,1.5,3,False
B30214,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50039,Mount_Pleasant,49.2683240155647,-123.10993994705002,1.5,3,False
751805,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,56412,Mount_Pleasant,49.26890103449183,-123.10473599634425,1.5,3,False
B30141,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,54335,Mount_Pleasant,49.268415004361934,-123.10855799318952,1.5,3,False
B30142,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50066,Mount_Pleasant,49.26829904150441,-123.10838206583799,1.5,3,False
A30019,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50048,Mount_Pleasant,49.26833118678893,-123.10378109719507,1.5,3,False
A30117,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50081,Mount_Pleasant,49.26828798530169,-123.10133601946043,1.5,3,False
A30134,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50757,Mount_Pleasant,49.268188000219475,-123.10220799166092,1.5,3,False
A40115,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,54285,Mount_Pleasant,49.26737502656449,-123.10106899576913,1.5,3,False
MY0506,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59839,Fairview,49.26799407044302,-123.11741987926905,1,2,False
072115,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59809,Grandview-Woodland,49.28125386255753,-123.0611056274229,1,2,False
072124,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59828,Grandview-Woodland,49.28108309143481,-123.06084555133712,1,2,False
072224,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59825,Grandview-Woodland,49.281075116256694,-123.05887661693116,1,2,False
MY0418,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59838,Fairview,49.26831876046383,-123.11754441816697,1,2,False
522406,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57908,Mount_Pleasant,49.263541218737956,-123.1093645967412,1,2,False
TH1818,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59968,Strathcona,49.26798057627058,-123.09471780069197,1,2,False
774221,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,51015,Arbutus_Ridge,49.24815681545999,-123.1533779473184,1,2,False
761803,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59946,Mount_Pleasant,49.268882482968586,-123.106676712144,1.5,3,False
A40114,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50225,Mount_Pleasant,49.26726600021063,-123.10117695124202,1.5,3,False
A40136,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50225,Mount_Pleasant,49.267278963082056,-123.10218796967952,1.5,3,False
B30020,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,52823,Mount_Pleasant,49.26825798619574,-123.10619403880388,1.5,3,False
A30018,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50067,Mount_Pleasant,49.268216964041855,-123.10382305753491,1.5,3,False
A30135,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50081,Mount_Pleasant,49.268304965383244,-123.10207503524639,1.5,3,False
B40311,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50144,Mount_Pleasant,49.26756197590515,-123.11131406304773,1.5,3,False
B40336,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50158,Mount_Pleasant,49.26746301078756,-123.1120770012998,1.5,3,False
A40137,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,54285,Mount_Pleasant,49.267393043684656,-123.10196002710568,1.5,3,False
072131,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59809,Grandview-Woodland,49.28125412036715,-123.0606161447146,1,2,False
072142,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59828,Grandview-Woodland,49.281083403393126,-123.06025019942084,1,2,False
072215,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59810,Grandview-Woodland,49.28124586576686,-123.05918755937628,1,2,False
072240,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59825,Grandview-Woodland,49.281075403503664,-123.05831013896672,1,2,False
072316,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59822,Grandview-Woodland,49.281066982657485,-123.0571606732557,1,2,False
KQ1715,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59956,Mount_Pleasant,49.269268383185654,-123.11034805306046,1,2,False
KL0319,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59818,Hastings-Sunrise,49.28145273060996,-123.0546722941876,1,2,False
KL0407,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59819,Hastings-Sunrise,49.280839427122196,-123.05466032794254,1,2,False
C80209,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59929,Riley_Park,49.254848157096596,-123.10025976890142,1,2,False
010323,Pay_Station,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67827,Strathcona,49.28407806537951,-123.09645651447063,1,2,False
TH1844,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59968,Strathcona,49.267264417144254,-123.094999438706,1,2,False
752214,Single,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,53291,Mount_Pleasant,49.26508204567186,-123.1047210405429,1.5,3,False
B50106,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57932,Mount_Pleasant,49.26646453678499,-123.10720211355672,1.5,3,False
072436,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59820,Hastings-Sunrise,49.281058917093794,-123.05524948777207,1,2,False
072413,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59817,Hastings-Sunrise,49.28122952188568,-123.05588078115453,1,2,False
SW0030,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59830,Mount_Pleasant,49.271264721368624,-123.10282167910016,1,2,False
620903,Twin_Bay_Single,5,1,5,1,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66215,Downtown,49.280858761227115,-123.12268810851592,3,6,False
C90129,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56343,Riley_Park,49.253750348644665,-123.10123490958115,1,2,False
C80134,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56259,Riley_Park,49.25456154715636,-123.10130614479729,1,2,False
C90206,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56462,Riley_Park,49.25382867981897,-123.10047145951387,1,2,False
C90208,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56704,Riley_Park,49.25382867981897,-123.10047145951387,1,2,False
C90210,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56873,Riley_Park,49.25382625103618,-123.1003059058471,1,2,False
C90212,Twin_Bay_Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56269,Riley_Park,49.25382625103618,-123.1003059058471,1,2,False
B60020,Twin_Bay_Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,50205,Mount_Pleasant,49.26555604720457,-123.10624899382894,1.5,3,False
B60022,Twin_Bay_Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56258,Mount_Pleasant,49.26555604720457,-123.10624899382894,1.5,3,False
752218,Twin_Bay_Single,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,52948,Mount_Pleasant,49.26499199924625,-123.10472593563588,1.5,3,False
B42040,Single,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51920,Kitsilano,49.26803632204204,-123.15239531619821,3.5,7,False
KL0401,Single-Disability,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,56319,Hastings-Sunrise,49.2809728131768,-123.0546865855585,1,2,False
B42002,Single-Disability,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,52003,Kitsilano,49.268015145642174,-123.15064747990755,3.5,7,False
161640,Single-Disability,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,No,67408,West_End,49.286038834472784,-123.1400673040104,1,2,False
B42107,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57138,Kitsilano,49.268228746216,-123.15331413560989,3.5,7,False
B42109,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57121,Kitsilano,49.26822854915425,-123.15346257707436,3.5,7,False
B42036,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51864,Kitsilano,49.26803657396291,-123.15220419459345,3.5,7,False
070102,Single-Disability,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,67102,Downtown,49.28128216428912,-123.1019701513948,1,2,False
B42038,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51892,Kitsilano,49.26803657396291,-123.15220419459345,3.5,7,False
B42105,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57120,Kitsilano,49.268228746216,-123.15331413560989,3.5,7,False
B42111,Twin,6,1,6,1,6,1,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57139,Kitsilano,49.26822854915425,-123.15346257707436,3.5,7,False
580612,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,4,4,4,4,13,Yes,67619,Downtown,49.28136216674627,-123.11391135175944,1,2,False
D00709,Twin-Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50321,Fairview,49.26239292025677,-123.12051972484957,2.5,5,False
D00705,Twin-Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50295,Fairview,49.262388346015285,-123.12028251485086,2.5,5,False
D00713,Twin-Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50323,Fairview,49.26239524175283,-123.12076024176856,2.5,5,False
D00711,Twin-Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50377,Fairview,49.26239524175283,-123.12076024176856,2.5,5,False
B42305,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57118,Kitsilano,49.26829979824183,-123.15792984021728,1,2,False
B42307,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57136,Kitsilano,49.26829979824183,-123.15792984021728,1,2,False
B42309,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57119,Kitsilano,49.26829953383929,-123.15812316212609,1,2,False
642114,Twin,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,13,No,57173,Fairview,49.2666140153155,-123.14553959341485,1,2,False
D00707,Twin-Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50463,Fairview,49.26239292025677,-123.12051972484957,2.5,5,False
D00703,Twin-Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50462,Fairview,49.262388346015285,-123.12028251485086,2.5,5,False
D00715,Single-Disability,4,1,4,1,4,1,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,50296,Fairview,49.26239966944245,-123.12105913584926,2.5,5,False
B42311,Twin,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,No,57137,Kitsilano,49.26829953383929,-123.15812316212609,1,2,False
GN0525,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,10,10,10,10,10,10,13,Yes,59837,Strathcona,49.266890994663214,-123.0927466536023,1,2,False
GN0535,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,10,10,10,10,10,10,13,Yes,59837,Strathcona,49.26689124133452,-123.09182968954376,1,2,False
LB2115,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,0.5,13,Yes,54361,Arbutus_Ridge,49.248570011252575,-123.15441801910711,1,2,False
A60017,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,13,Yes,50786,Mount_Pleasant,49.265615963747685,-123.1036650286887,1.5,3,False
B60112,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50788,Mount_Pleasant,49.26557398711314,-123.10766395996392,1.5,3,False
762108,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,57950,Mount_Pleasant,49.26618303826234,-123.10661197992422,1.5,3,False
762109,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,57944,Mount_Pleasant,49.266179995422426,-123.1067899754763,1.5,3,False
762208,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50063,Mount_Pleasant,49.26524797865413,-123.10662096141834,1.5,3,False
762213,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50064,Mount_Pleasant,49.26509096590253,-123.10686597197011,1.5,3,False
752213,Pay_Station,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50034,Mount_Pleasant,49.265028002915614,-123.1048990615883,1.5,3,False
B60309,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50803,Mount_Pleasant,49.26575997044893,-123.1114040266356,1.5,3,False
B60327,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50803,Mount_Pleasant,49.26577204011488,-123.11222395639327,1.5,3,False
